PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,PARKDIST,HOSPDIST,WARD,TABSYSTEM,TABMODEL,MAILBALLOT,7AM,EDR,SIGNATURES,REGMILOVAB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSSWP,USPRSCP,USPRSCG,USPRSGP,USPRSGR,USPRSSL,USPRSJP,USPRSWI,USPRSTOTAL,USSENIP,USSENR,USSENDFL,USSENGR,USSENMOP,USSENWI,USSENTOTAL,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENIP,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,MNCA2YES,MNCA2NO,MNCA2EST,MNCA2TOTAL,VTDID
ROCHESTER W1 P5,0104,Rochester,Olmsted,55,1,26,26B,03,03,7109,,,W-01,Precinct Tabulator,Model 100,,1281,151,1098,109,2,0,1209,591,579,11,1,0,1,5,2,0,3,10,1203,37,393,693,19,6,0,1148,0,520,652,3,1175,0,638,504,1,1143,0,573,544,2,1119,635,551,23,1209,624,563,22,1209,271090104
ROCHESTER W1 P6,0106,Rochester,Olmsted,55,1,26,26A,06,03,7109,,,W-01,Precinct Tabulator,Model 100,,339,77,287,30,0,0,317,111,194,10,0,0,0,0,0,0,0,1,316,7,72,211,4,1,1,296,0,100,201,1,302,0,139,149,1,289,0,111,176,2,289,139,170,8,317,153,155,9,317,271090106
ROCHESTER W1 P7,0108,Rochester,Olmsted,55,1,26,26B,06,03,7109,,,W-01,Precinct Tabulator,Model 100,,1609,259,1395,174,2,0,1571,769,754,28,0,2,1,7,0,0,0,6,1567,44,552,901,13,6,0,1516,0,682,834,1,1517,0,824,665,3,1492,0,753,698,2,1453,755,808,8,1571,840,721,10,1571,271090108
ROCHESTER W1 P8,0110,Rochester,Olmsted,55,1,26,26B,06,03,7109,,,W-01,Precinct Tabulator,Model 100,,1027,126,754,240,2,0,996,550,420,4,0,0,1,5,0,0,0,1,981,17,387,532,7,0,1,944,0,479,474,2,955,0,601,340,1,942,0,537,368,1,906,494,480,22,996,527,445,24,996,271090110
ROCHESTER W1 P9,0112,Rochester,Olmsted,55,1,26,26B,04,03,7109,,,W-01,Precinct Tabulator,Model 100,,834,91,697,109,1,0,807,427,364,9,0,0,0,1,2,0,1,0,804,17,274,472,13,1,2,779,0,368,419,1,788,0,472,295,1,768,0,437,326,0,763,343,454,10,807,417,373,17,807,271090112
ROCHESTER W1 P10,0114,Rochester,Olmsted,55,1,26,26B,04,03,7109,,,W-01,Precinct Tabulator,Model 100,,232,74,217,22,0,0,239,105,125,4,0,0,0,1,0,0,0,2,237,4,72,134,10,1,2,223,0,92,133,2,227,0,122,95,2,219,0,111,104,2,217,101,137,1,239,118,117,4,239,271090114
ROCHESTER W1 P11,0116,Rochester,Olmsted,55,1,26,26B,04,03,7109,,,W-01,Precinct Tabulator,Model 100,,847,94,709,91,1,0,801,448,337,13,0,0,0,0,0,0,0,0,798,10,316,442,4,2,0,774,0,379,398,1,778,0,475,295,0,770,0,454,294,0,748,416,382,3,801,445,346,10,801,271090116
ROCHESTER W1 P12,0118,Rochester,Olmsted,55,1,26,26B,04,03,7109,,,W-01,Precinct Tabulator,Model 100,,297,48,272,19,0,0,291,148,137,4,0,0,0,0,0,0,1,1,291,8,102,159,5,1,0,275,0,122,153,0,275,0,143,122,0,265,0,137,125,0,262,149,139,3,291,160,127,4,291,271090118
ROCHESTER W2 P1,0122,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-02,Precinct Tabulator,Model 100,,1017,296,868,52,2,0,922,271,602,27,0,1,1,7,2,1,1,7,920,42,217,578,8,5,2,852,0,249,607,4,860,0,335,494,4,833,0,260,575,1,836,320,587,15,922,341,563,18,922,271090122
ROCHESTER W2 P2,0124,Rochester,Olmsted,55,1,26,26A,06,03,7109,,,W-02,Precinct Tabulator,Model 100,,1868,252,1392,346,12,0,1750,600,1102,22,0,0,0,8,4,0,3,5,1744,34,438,1182,18,7,1,1680,0,515,1165,2,1682,0,702,941,1,1644,0,578,1069,1,1648,541,1178,31,1750,651,1054,45,1750,271090124
ROCHESTER W2 P3,0126,Rochester,Olmsted,55,1,26,26A,06,03,7109,,,W-02,Precinct Tabulator,Model 100,,1297,384,1177,122,1,0,1300,607,670,15,0,0,1,0,0,0,1,2,1296,31,436,718,11,4,3,1203,0,523,679,4,1206,0,634,528,1,1163,0,548,601,2,1151,568,703,29,1300,647,609,44,1300,271090126
ROCHESTER W2 P4,0128,Rochester,Olmsted,55,1,26,26A,06,03,7109,,,W-02,Precinct Tabulator,Model 100,,1435,104,1045,283,2,0,1330,657,652,8,0,0,0,4,0,0,0,5,1326,13,461,799,7,1,1,1282,0,566,726,1,1293,0,737,540,1,1278,0,619,655,2,1276,564,755,11,1330,683,638,9,1330,271090128
ROCHESTER W2 P5,0130,Rochester,Olmsted,55,1,25,25A,05,03,7109,,,W-02,Precinct Tabulator,Model 100,,1169,230,1039,54,0,0,1093,467,586,18,0,3,0,3,0,0,1,10,1088,26,356,642,13,3,5,1045,0,446,605,3,1054,0,506,518,4,1028,0,492,499,6,997,520,559,14,1093,566,506,21,1093,271090130
ROCHESTER W2 P6,0132,Rochester,Olmsted,55,1,25,25A,06,03,7109,,,W-02,Precinct Tabulator,Model 100,,890,94,722,92,1,0,815,385,412,5,0,2,0,8,0,0,0,0,812,13,263,497,7,3,0,783,0,323,462,2,787,0,427,351,0,778,0,407,342,0,749,396,410,9,815,408,395,12,815,271090132
ROCHESTER W2 P7,0134,Rochester,Olmsted,55,1,26,26A,06,03,7109,,,W-02,Precinct Tabulator,Model 100,,1696,208,1332,282,1,1,1616,758,813,24,0,3,0,8,2,0,0,4,1612,36,548,951,20,5,2,1562,0,680,889,2,1571,0,858,695,0,1553,0,733,811,1,1545,682,921,13,1616,778,815,23,1616,271090134
ROCHESTER W2 P8,0136,Rochester,Olmsted,55,1,25,25A,06,03,7109,,,W-02,Precinct Tabulator,Model 100,,1667,221,1448,173,2,0,1623,790,773,27,2,2,2,5,0,0,3,10,1614,54,565,907,11,7,1,1545,0,726,836,2,1564,0,821,713,2,1536,0,809,664,2,1475,778,821,24,1623,878,722,23,1623,271090136
ROCHESTER W3 P1,0140,Rochester,Olmsted,55,1,25,25A,05,03,7109,,,W-03,Precinct Tabulator,Model 100,,1196,178,1043,91,0,0,1134,566,535,20,1,1,0,3,0,0,3,3,1132,30,431,610,8,5,1,1085,0,518,574,0,1092,0,598,472,1,1071,0,595,435,0,1030,543,581,10,1134,633,486,15,1134,271090140
ROCHESTER W3 P2,0142,Rochester,Olmsted,55,1,25,25B,05,03,7109,,,W-03,Precinct Tabulator,Model 100,,1242,261,1117,140,0,0,1257,646,574,25,0,4,0,5,0,0,1,2,1257,32,473,682,14,4,2,1207,0,560,648,2,1210,0,667,516,1,1184,0,571,604,2,1177,581,665,11,1257,669,573,15,1257,271090142
ROCHESTER W3 P3,0144,Rochester,Olmsted,55,1,25,25B,05,03,7109,,,W-03,Precinct Tabulator,Model 100,,1179,125,920,158,1,0,1079,550,502,15,0,1,1,6,1,0,0,2,1078,21,395,608,5,3,0,1032,0,494,552,1,1047,0,598,437,1,1036,0,485,549,1,1035,587,477,15,1079,615,450,14,1079,271090144
ROCHESTER W3 P4,0146,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-03,Precinct Tabulator,Model 100,,1281,259,1065,73,1,0,1139,423,668,23,1,0,0,2,2,0,0,13,1132,33,296,695,10,9,3,1046,0,406,658,5,1069,0,445,587,2,1034,0,400,624,2,1026,558,523,58,1139,573,488,78,1139,271090146
ROCHESTER W3 P5,0148,Rochester,Olmsted,55,1,25,25B,07,03,7109,,,W-03,Precinct Tabulator,Model 100,,2093,374,1762,236,2,0,2000,893,1057,26,0,2,0,2,1,1,1,6,1989,48,631,1188,20,7,0,1894,0,811,1105,2,1918,0,919,943,4,1866,0,809,1026,2,1837,932,1032,36,2000,1058,900,42,2000,271090148
ROCHESTER W3 P6,0150,Rochester,Olmsted,55,1,25,25A,05,03,7109,,,W-03,Precinct Tabulator,Model 100,,1218,187,1059,116,0,0,1175,584,561,23,0,0,0,0,1,0,0,4,1173,29,418,657,7,2,1,1114,0,514,609,0,1123,0,610,488,0,1098,0,589,479,0,1068,566,594,15,1175,660,494,21,1175,271090150
ROCHESTER W3 P7,0152,Rochester,Olmsted,55,1,25,25A,05,03,7109,,,W-03,Precinct Tabulator,Model 100,,1560,419,1500,106,0,0,1606,732,816,29,0,5,0,1,0,0,1,7,1591,37,526,930,19,4,1,1517,0,657,868,1,1526,0,738,749,2,1489,0,719,718,3,1440,709,878,19,1606,883,686,37,1606,271090152
ROCHESTER W4 P1,0154,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-04,Precinct Tabulator,Model 100,,1679,378,1163,318,2,0,1483,513,913,27,1,1,1,7,2,1,0,6,1472,45,369,918,19,8,1,1360,0,460,898,9,1367,0,611,704,6,1321,0,498,828,3,1329,603,834,46,1483,655,763,65,1483,271090154
ROCHESTER W4 P2,0156,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-04,Precinct Tabulator,Model 100,,591,132,454,56,3,0,513,155,332,12,1,2,0,2,0,0,0,6,510,16,109,339,14,2,0,480,0,138,343,0,481,0,196,273,1,470,0,155,313,2,470,223,279,11,513,228,267,18,513,271090156
ROCHESTER W4 P3,0158,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-04,Precinct Tabulator,Model 100,,936,188,777,63,3,0,843,294,493,27,0,0,0,18,1,0,0,5,838,37,201,536,22,8,1,805,0,269,541,2,812,0,353,440,3,796,0,290,511,1,802,352,478,13,843,391,435,17,843,271090158
ROCHESTER W4 P4,0160,Rochester,Olmsted,55,1,26,26A,03,03,7109,,,W-04,Precinct Tabulator,Model 100,,903,187,786,44,0,0,830,313,471,26,0,2,0,8,3,0,0,7,830,30,208,523,28,4,0,793,0,279,527,0,806,0,384,409,2,795,0,318,479,2,799,351,472,7,830,406,410,14,830,271090160
ROCHESTER W4 P5,0162,Rochester,Olmsted,55,1,26,26A,03,03,7109,,,W-04,Precinct Tabulator,Model 100,,1312,276,943,108,1,0,1052,340,671,11,1,4,0,7,2,1,0,5,1042,43,230,699,25,4,2,1003,0,314,690,5,1009,0,429,551,6,986,0,339,637,6,982,456,574,22,1052,483,542,27,1052,271090162
ROCHESTER W4 P6,0164,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-04,Precinct Tabulator,Model 100,,445,104,302,61,0,0,363,95,262,2,0,0,0,1,0,0,0,0,360,6,62,261,4,1,0,334,0,72,269,1,342,0,115,217,0,332,0,78,254,0,332,213,126,24,363,125,212,26,363,271090164
ROCHESTER W4 P7,0166,Rochester,Olmsted,55,1,26,26A,03,03,7109,,,W-04,Precinct Tabulator,Model 100,,1179,210,949,93,0,0,1042,453,546,14,1,0,0,6,3,1,1,7,1032,32,302,624,27,6,1,992,0,387,620,1,1008,0,499,492,1,992,0,412,581,1,994,575,456,11,1042,576,448,18,1042,271090166
ROCHESTER W4 P8,0168,Rochester,Olmsted,55,1,26,26A,03,03,7109,,,W-04,Precinct Tabulator,Model 100,,710,142,630,50,2,0,682,271,376,18,0,1,0,0,1,0,0,9,676,12,187,423,12,3,1,638,0,244,398,1,643,0,324,299,2,625,0,268,356,1,625,356,310,16,682,356,310,16,682,271090168
ROCHESTER W4 P9,0170,Rochester,Olmsted,55,1,26,26B,03,03,7109,,,W-04,Precinct Tabulator,Model 100,,212,38,177,19,1,0,197,104,85,1,0,1,0,0,1,0,0,4,196,7,69,105,4,1,0,186,0,91,102,0,193,0,105,77,1,183,0,98,85,0,183,95,100,2,197,97,93,7,197,271090170
ROCHESTER W5 P1,0172,Rochester,Olmsted,55,1,25,25B,01,03,7109,,,W-05,Precinct Tabulator,Model 100,,1450,242,1116,158,2,1,1277,445,781,24,1,3,2,12,1,1,4,1,1275,39,313,842,23,3,1,1221,0,427,806,1,1234,0,487,723,1,1211,0,420,782,1,1203,575,683,19,1277,569,688,20,1277,271090172
ROCHESTER W5 P2,0174,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-05,Precinct Tabulator,Model 100,,1146,289,847,164,0,0,1011,415,562,14,1,4,0,2,0,0,0,11,1009,33,297,590,23,4,0,947,0,386,583,0,969,0,485,455,1,941,0,422,506,2,930,493,491,27,1011,505,475,31,1011,271090174
ROCHESTER W5 P3,0176,Rochester,Olmsted,55,1,25,25B,03,03,7109,,,W-05,Precinct Tabulator,Model 100,,1826,274,1539,210,0,0,1749,800,892,29,0,4,0,12,0,0,3,4,1744,41,561,1057,20,6,2,1687,0,716,985,2,1703,0,848,829,1,1678,0,701,963,4,1668,797,930,22,1749,866,862,21,1749,271090176
ROCHESTER W5 P4,0178,Rochester,Olmsted,55,1,26,26A,03,03,7109,,,W-05,Precinct Tabulator,Model 100,,1510,189,1255,193,1,2,1451,621,788,26,0,2,0,6,0,1,0,3,1447,33,456,894,11,3,1,1398,0,554,848,2,1404,0,724,642,4,1370,0,609,758,5,1372,621,812,18,1451,662,764,25,1451,271090178
ROCHESTER W5 P5,0180,Rochester,Olmsted,55,1,25,25B,03,03,7109,,,W-05,Precinct Tabulator,Model 100,,1986,196,1516,289,3,0,1808,883,885,15,0,3,0,11,1,1,0,3,1802,35,619,1064,13,7,0,1738,0,768,975,3,1746,0,937,783,3,1723,0,765,948,1,1714,841,941,26,1808,922,851,35,1808,271090180
ROCHESTER W5 P6,0182,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-05,Precinct Tabulator,Model 100,,855,155,700,92,0,0,792,294,458,19,0,3,0,6,2,0,0,7,789,22,220,496,18,2,1,759,0,273,488,3,764,0,311,449,3,763,0,296,454,2,752,386,392,14,792,370,399,23,792,271090182
ROCHESTER W5 P7,0184,Rochester,Olmsted,55,1,26,26B,07,03,7109,,,W-05,Precinct Tabulator,Model 100,,1659,165,1397,200,2,0,1599,828,752,10,0,1,1,1,0,0,0,0,1593,28,583,921,5,4,2,1543,0,708,842,4,1554,0,890,630,3,1523,0,834,651,3,1488,793,789,17,1599,859,710,30,1599,271090184
ROCHESTER W5 P8,0186,Rochester,Olmsted,55,1,25,25B,07,03,7109,,,W-05,Precinct Tabulator,Model 100,,390,65,344,41,0,0,385,186,187,6,0,0,0,1,0,0,0,5,385,10,128,234,1,0,0,373,0,162,212,0,374,0,184,185,1,370,0,172,201,0,373,170,211,4,385,177,204,4,385,271090186
ROCHESTER W6 P1,0194,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,2002,263,1714,207,1,0,1922,875,985,28,2,5,0,8,1,1,1,8,1914,55,606,1157,21,4,1,1844,0,805,1065,0,1870,0,975,864,0,1839,0,790,1045,1,1836,905,1002,15,1922,910,989,23,1922,271090194
ROCHESTER W6 P2,0196,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,1877,205,1522,219,2,0,1743,802,893,19,0,2,0,6,1,0,1,11,1735,30,590,1031,14,2,4,1671,0,715,972,7,1694,0,859,802,5,1666,0,708,938,5,1651,809,913,21,1743,873,849,21,1743,271090196
ROCHESTER W6 P3,0198,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,1414,285,1220,101,2,0,1323,536,750,20,0,0,0,5,0,0,1,6,1318,36,374,830,14,4,4,1262,0,483,787,6,1276,0,581,655,5,1241,0,482,742,4,1228,582,720,21,1323,670,627,26,1323,271090198
ROCHESTER W6 P4,0200,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,1609,402,1340,113,1,0,1454,587,808,21,0,2,1,6,4,0,1,11,1441,49,404,885,20,6,0,1364,0,521,855,1,1377,0,620,723,3,1346,0,516,815,0,1331,681,741,32,1454,721,696,37,1454,271090200
ROCHESTER W6 P5,0202,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,752,246,586,78,1,0,665,234,407,11,0,1,0,2,0,0,0,6,661,26,174,402,14,3,2,621,0,215,405,3,623,0,244,361,2,607,0,214,395,2,611,284,364,17,665,290,346,29,665,271090202
ROCHESTER W6 P6,0204,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,842,229,665,65,0,0,730,246,457,9,1,2,0,10,1,0,1,3,730,17,165,489,13,6,2,692,0,229,472,4,705,0,270,413,6,689,0,228,450,5,683,317,393,20,730,350,361,19,730,271090204
ROCHESTER W6 P7,0206,Rochester,Olmsted,55,1,25,25B,02,03,7109,,,W-06,Precinct Tabulator,Model 100,,1201,220,1041,114,0,0,1155,506,620,15,0,2,0,3,0,0,0,5,1151,36,341,704,12,6,2,1101,0,458,651,2,1111,0,564,525,2,1091,0,454,626,6,1086,606,533,16,1155,616,519,20,1155,271090206
ROCHESTER W6 P8,0208,Rochester,Olmsted,55,1,26,26A,01,03,7109,,,W-06,Precinct Tabulator,Model 100,,862,135,710,64,0,2,776,291,458,10,0,2,0,4,1,0,0,3,769,21,198,508,14,1,0,742,0,274,478,2,754,0,371,353,1,725,0,325,402,2,729,369,390,17,776,371,386,19,776,271090208
ROCHESTER TWP P-1,0210,Rochester Twp,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,1174,85,863,214,5,0,1082,597,467,6,0,0,0,4,2,0,0,4,1080,16,429,605,3,0,1,1054,0,495,561,1,1057,0,660,373,3,1036,0,579,424,1,1004,509,560,13,1082,585,481,16,1082,271090210
ROCHESTER TWP P-2,0211,Rochester Twp,Olmsted,55,1,26,26A,06,03,7109,,,,Precinct Tabulator,Model 100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271090211
ROCHESTER TWP P-3,0212,Rochester Twp,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,7,1,4,2,0,0,6,3,2,0,0,0,0,0,0,0,0,1,6,1,2,3,0,0,0,6,0,4,1,0,5,0,4,1,0,5,0,4,1,0,5,2,4,0,6,2,3,1,6,271090212
ROCHESTER TWP P-4,0213,Rochester Twp,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,38,4,29,2,0,0,31,20,11,0,0,0,0,0,0,0,0,0,31,0,14,15,1,1,0,31,0,15,16,0,31,0,22,9,0,31,0,19,11,0,30,21,10,0,31,23,8,0,31,271090213
ROCK DELL TWP.,0215,Rock Dell Twp,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,410,35,375,18,0,0,393,247,132,4,0,0,0,0,0,0,0,5,388,16,173,182,6,5,0,382,0,226,161,0,387,0,240,140,0,380,0,244,126,0,370,270,123,0,393,242,150,1,393,271090215
SALEM TWP.,0220,Salem Twp,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,758,62,621,56,1,0,678,392,269,7,1,0,0,2,3,0,0,2,676,19,272,353,5,4,0,653,0,343,317,0,660,0,406,238,0,644,0,393,238,1,632,400,273,5,678,378,292,8,678,271090220
STEWARTVILLE,0225,Stewartville,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,3361,483,2901,196,0,0,3097,1670,1317,37,1,3,0,16,9,0,3,20,3076,111,1093,1682,63,8,1,2958,0,1461,1552,3,3016,0,1884,1095,4,2983,0,1734,1192,9,2935,1794,1280,23,3097,1760,1301,36,3097,271090225
VIOLA TWP.,0230,Viola Twp,Olmsted,55,1,26,26B,04,03,7109,,,,Precinct Tabulator,Model 100,,370,23,311,18,0,0,329,207,108,9,0,1,0,0,0,0,1,1,327,10,153,155,3,0,0,321,0,193,132,1,326,0,225,97,0,322,0,203,111,1,315,233,93,3,329,199,129,1,329,271090230
AASTAD TWP,0005,Aastad Twp,Otter Tail,56,7,8,8A,03,07,1111,,,,Precinct Tabulator,Model 100,,124,20,112,11,0,0,123,75,47,1,0,0,0,0,0,0,0,0,123,1,48,74,0,0,0,123,1,55,67,0,123,0,63,59,0,122,0,91,30,0,121,81,42,0,123,72,51,0,123,271110005
AMOR TWP,0010,Amor Twp,Otter Tail,56,7,8,8A,04,07,1111,,,,Precinct Tabulator,Model 100,,330,27,262,49,3,0,314,168,139,4,0,0,0,0,0,0,1,2,314,9,106,191,1,2,0,309,16,102,186,0,304,0,144,157,1,302,0,186,111,0,297,178,130,6,314,149,159,6,314,271110010
AURDAL TWP,0015,Aurdal Twp,Otter Tail,56,7,8,8A,02,07,1111,,,,Precinct Tabulator,Model 100,,925,116,780,116,0,0,896,574,311,4,0,2,0,0,1,0,0,3,895,27,386,457,3,3,0,876,23,367,480,1,871,0,475,394,0,869,0,594,269,0,863,571,320,5,896,509,373,14,896,271110015
BATTLE LAKE,0020,Battle Lake,Otter Tail,56,7,8,8A,03,07,1111,,,,Precinct Tabulator,Model 100,,520,86,441,63,0,0,504,283,210,3,0,1,0,1,0,0,1,0,499,15,205,259,3,1,0,483,20,211,251,0,482,0,243,245,1,489,0,317,163,0,480,289,207,8,504,267,221,16,504,271110020
BLOWERS TWP,0025,Blowers Twp,Otter Tail,56,7,8,8B,01,07,1112,,,,Precinct Tabulator,Model 100,,159,21,146,5,0,0,151,87,57,1,0,0,0,3,1,0,1,1,151,8,62,76,2,1,0,149,8,56,85,0,149,0,67,81,1,149,0,75,66,1,142,112,38,1,151,86,63,2,151,271110025
BLUFFTON,0030,Bluffton,Otter Tail,56,7,8,8B,04,07,1112,,,,Precinct Tabulator,Model 100,,117,22,107,2,0,0,109,81,27,0,0,0,0,0,0,0,0,1,109,2,55,50,0,1,0,108,4,51,53,0,108,0,50,59,0,109,0,71,36,0,107,88,20,1,109,58,50,1,109,271110030
BLUFFTON TWP,0035,Bluffton Twp,Otter Tail,56,7,8,8B,04,07,1112,,,,Precinct Tabulator,Model 100,,237,37,205,9,0,0,214,165,46,0,0,1,0,0,1,0,0,1,214,5,96,106,0,0,0,207,5,93,109,0,207,0,104,104,0,208,0,136,64,0,200,173,40,1,214,144,68,2,214,271110035
BUSE TWP,0040,Buse Twp,Otter Tail,56,7,8,8A,03,07,1111,,,,Precinct Tabulator,Model 100,,322,48,275,32,1,0,308,226,78,2,0,0,0,1,0,0,0,1,308,17,152,126,2,1,0,298,7,161,133,0,301,0,187,109,0,296,0,225,75,0,300,238,67,3,308,195,107,6,308,271110040
BUTLER TWP,0045,Butler Twp,Otter Tail,56,7,2,2B,01,07,1112,,,,Precinct Tabulator,Model 100,,167,14,145,10,0,0,155,104,46,1,0,1,0,1,0,0,0,1,154,2,76,70,1,0,0,149,6,66,78,0,150,0,89,54,0,143,0,94,53,0,147,127,26,2,155,76,75,4,155,271110045
CANDOR TWP,0050,Candor Twp,Otter Tail,56,7,8,8A,02,07,1112,,,,Precinct Tabulator,Model 100,,387,38,331,29,0,0,360,234,118,4,0,0,0,0,1,0,1,1,359,10,171,163,5,1,0,350,15,148,187,1,351,0,208,140,1,349,0,230,116,0,346,255,101,4,360,212,143,5,360,271110050
CARLISLE TWP,0055,Carlisle Twp,Otter Tail,56,7,8,8A,03,07,1111,,,,Precinct Tabulator,Model 100,,116,15,103,8,0,0,111,77,33,1,0,0,0,0,0,0,0,0,111,3,57,49,2,0,0,111,4,57,49,0,110,0,68,43,0,111,0,74,37,0,111,80,31,0,111,68,41,2,111,271110055
CLITHERALL,0060,Clitherall,Otter Tail,56,7,8,8B,04,07,1111,,,,Precinct Tabulator,Model 100,,43,6,37,0,0,0,37,16,19,0,0,0,0,2,0,0,0,0,37,2,10,21,1,0,0,34,2,11,20,0,33,0,9,25,0,34,0,14,17,0,31,23,12,2,37,16,19,2,37,271110060
CLITHERALL TWP,0065,Clitherall Twp,Otter Tail,56,7,8,8B,03,07,1111,,,,Precinct Tabulator,Model 100,,387,25,298,43,0,0,341,187,146,2,0,1,0,3,0,0,1,0,340,9,137,186,1,1,0,334,12,150,170,0,332,0,176,156,0,332,0,186,140,0,326,218,121,2,341,170,165,6,341,271110065
COMPTON TWP,0070,Compton Twp,Otter Tail,56,7,8,8B,04,07,1112,,,,Precinct Tabulator,Model 100,,380,42,324,24,0,0,348,220,116,2,0,1,1,2,0,0,0,3,345,7,151,178,1,0,0,337,6,151,176,0,333,0,153,190,0,343,0,194,134,0,328,264,76,8,348,197,137,14,348,271110070
CORLISS TWP,0075,Corliss Twp,Otter Tail,56,7,2,2B,01,07,1112,,1640,,Precinct Tabulator,Model 100,,342,22,277,20,0,0,297,198,89,4,0,2,1,0,0,0,0,0,294,12,145,131,2,2,0,292,8,113,168,0,289,0,176,107,0,283,0,175,102,0,277,233,60,4,297,166,128,3,297,271110075
DALTON,0080,Dalton,Otter Tail,56,7,8,8A,03,07,1111,,,,Precinct Tabulator,Model 100,,144,24,125,8,1,0,134,57,68,3,0,3,1,0,1,0,0,1,134,8,36,78,5,2,0,129,9,30,89,0,128,0,49,79,0,128,0,66,62,0,128,74,55,5,134,68,63,3,134,271110080
DANE PRAIRIE TWP,0085,Dane Prairie Twp,Otter Tail,56,7,8,8A,03,07,1111,,,,Precinct Tabulator,Model 100,,572,50,482,57,2,0,541,335,196,3,0,1,1,2,0,0,0,0,538,15,237,271,4,0,0,527,12,231,283,0,526,0,287,236,0,523,0,373,149,0,522,370,167,4,541,314,219,8,541,271110085
DEAD LAKE TWP,0090,Dead Lake Twp,Otter Tail,56,7,8,8A,01,07,1112,,1640,,Precinct Tabulator,Model 100,,338,20,233,49,0,0,282,183,90,1,0,2,0,0,1,0,0,1,278,12,131,122,2,1,0,268,16,123,126,0,265,0,148,117,0,265,0,163,97,0,260,189,86,7,282,152,123,7,282,271110090
DEER CREEK,0095,Deer Creek,Otter Tail,56,7,8,8B,04,07,1112,,,,Precinct Tabulator,Model 100,,171,23,146,2,0,0,148,84,59,0,0,1,0,2,0,0,0,0,146,4,48,86,0,1,0,139,7,49,78,0,134,0,48,95,0,143,0,68,63,0,131,112,36,0,148,84,61,3,148,271110095
DEER CREEK TWP,0100,Deer Creek Twp,Otter Tail,56,7,8,8B,04,07,1112,,,,Precinct Tabulator,Model 100,,201,23,176,11,0,0,187,116,68,0,0,1,1,0,0,0,0,1,187,8,73,98,2,1,0,182,4,64,110,0,178,0,73,109,0,182,0,91,84,0,175,148,38,1,187,99,86,2,187,271110100
DENT,0105,Dent,Otter Tail,56,7,8,8A,01,07,1112,,1640,,Precinct Tabulator,Model 100,,110,18,95,4,1,0,100,56,39,3,0,0,0,0,0,0,0,2,100,4,38,52,3,0,0,97,7,32,58,0,97,0,43,52,0,95,0,57,36,0,93,67,31,2,100,46,49,5,100,271110105
DORA TWP,0110,Dora Twp,Otter Tail,56,7,8,8A,02,07,1112,,1640,,Precinct Tabulator,Model 100,,526,35,398,77,0,0,475,251,214,5,0,1,0,1,0,0,0,2,474,9,185,269,0,1,0,464,18,160,284,0,462,0,225,237,0,462,0,237,217,1,455,304,165,6,475,240,222,13,475,271110110
DUNN TWP,0115,Dunn Twp,Otter Tail,56,7,8,8A,02,07,1111,,1630,,Precinct Tabulator,Model 100,,685,46,470,112,0,0,582,351,225,3,0,0,0,2,1,0,0,0,582,11,253,303,4,0,0,571,20,209,342,0,571,0,316,246,0,562,0,326,227,1,554,368,211,3,582,361,212,9,582,271110115
